2022-09-02 14:17:17 7850 | Message | 初始化Realm
2022-09-02 14:17:17 7860 | Message | Realm  127.0.0.1  20002
2022-09-02 14:17:17 7928 | Message | Realm服务器开始监听127.0.0.1:20002
2022-09-02 14:17:17 7931 | Message | 初始化Gate
2022-09-02 14:17:17 7942 | Message | Gate  127.0.0.1  20003
2022-09-02 14:17:17 8009 | Message | Gate服务器开始监听127.0.0.1:20003
2022-09-02 14:17:17 8012 | Message | 初始化World
2022-09-02 14:17:17 8025 | Message | World  127.0.0.1  20004
2022-09-02 14:17:17 8145 | Message | World服务器开始监听127.0.0.1:20004
2022-09-02 14:17:56 6836 | Message | Main启动,pid:25392
2022-09-02 14:17:56 6909 | Message | 初始化Login
2022-09-02 14:17:56 7119 | Message | Login  127.0.0.1  20001
2022-09-02 14:17:56 7466 | Message | Login服务器开始监听127.0.0.1:20001
2022-09-02 14:17:56 8701 | Message | 初始化Realm
2022-09-02 14:17:56 8708 | Message | Realm  127.0.0.1  20002
2022-09-02 14:17:56 8726 | Message | Realm服务器开始监听127.0.0.1:20002
2022-09-02 14:17:56 8728 | Message | 初始化Gate
2022-09-02 14:17:56 8737 | Message | Gate  127.0.0.1  20003
2022-09-02 14:17:56 8827 | Message | Gate服务器开始监听127.0.0.1:20003
2022-09-02 14:17:56 8829 | Message | 初始化World
2022-09-02 14:17:56 8836 | Message | World  127.0.0.1  20004
2022-09-02 14:17:56 8897 | Message | World服务器开始监听127.0.0.1:20004
2022-09-02 14:18:03 7268 | Message | 127.0.0.1:53163 正在连接
2022-09-02 14:18:03 7275 | Message | 127.0.0.1:53163 连接成功
2022-09-02 14:18:41 0382 | Message | Main启动,pid:28216
2022-09-02 14:18:43 6753 | Message | 初始化Login
2022-09-02 14:18:43 7232 | Message | Login  127.0.0.1  20001
2022-09-02 14:18:43 7714 | Message | Login服务器开始监听127.0.0.1:20001
2022-09-02 14:18:43 9707 | Message | 初始化Realm
2022-09-02 14:18:43 9716 | Message | Realm  127.0.0.1  20002
2022-09-02 14:18:43 9769 | Message | Realm服务器开始监听127.0.0.1:20002
2022-09-02 14:18:43 9772 | Message | 初始化Gate
2022-09-02 14:18:43 9779 | Message | Gate  127.0.0.1  20003
2022-09-02 14:18:43 9831 | Message | Gate服务器开始监听127.0.0.1:20003
2022-09-02 14:18:43 9834 | Message | 初始化World
2022-09-02 14:18:43 9841 | Message | World  127.0.0.1  20004
2022-09-02 14:18:43 9925 | Message | World服务器开始监听127.0.0.1:20004
2022-09-02 14:18:57 8570 | Message | 127.0.0.1:53207 正在连接
2022-09-02 14:18:57 8577 | Message | 127.0.0.1:53207 连接成功
2022-09-02 14:20:05 5592 | Message | 127.0.0.1:53245 正在连接
2022-09-02 14:20:05 5595 | Message | 127.0.0.1:53245 连接成功
2022-09-02 14:22:21 1489 | Message | Main启动,pid:6852
2022-09-02 14:22:21 1562 | Message | 初始化Login
2022-09-02 14:22:21 1778 | Message | Login  127.0.0.1  20001
